Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Train 0, loss: 2.751915, train acc: 0.440955, train avg acc: 0.270484
Test 0, loss: 2.186471, test acc: 0.642220, test avg acc: 0.528808
Train 1, loss: 2.216461, train acc: 0.625000, train avg acc: 0.446227
Test 1, loss: 1.970600, test acc: 0.731767, test avg acc: 0.631355
Train 2, loss: 2.056989, train acc: 0.696341, train avg acc: 0.536744
Test 2, loss: 1.871485, test acc: 0.772285, test avg acc: 0.657541
Train 3, loss: 1.987600, train acc: 0.729370, train avg acc: 0.592927
Test 3, loss: 1.850816, test acc: 0.773501, test avg acc: 0.649936
Train 4, loss: 1.921034, train acc: 0.755285, train avg acc: 0.624888
Test 4, loss: 1.761359, test acc: 0.807131, test avg acc: 0.689494
Train 5, loss: 1.859873, train acc: 0.780488, train avg acc: 0.661200
Test 5, loss: 1.706806, test acc: 0.851297, test avg acc: 0.754360
Train 6, loss: 1.832798, train acc: 0.793191, train avg acc: 0.679983
Test 6, loss: 1.717384, test acc: 0.833063, test avg acc: 0.745570
Train 7, loss: 1.797653, train acc: 0.809451, train avg acc: 0.703600
Test 7, loss: 1.702370, test acc: 0.835494, test avg acc: 0.758663
Train 8, loss: 1.774452, train acc: 0.815447, train avg acc: 0.710981
Test 8, loss: 1.671568, test acc: 0.849676, test avg acc: 0.786802
Train 9, loss: 1.756856, train acc: 0.822866, train avg acc: 0.727727
Test 9, loss: 1.643038, test acc: 0.869935, test avg acc: 0.795610
Train 10, loss: 1.739135, train acc: 0.836382, train avg acc: 0.746228
Test 10, loss: 1.637107, test acc: 0.858995, test avg acc: 0.787872
Train 11, loss: 1.723550, train acc: 0.839228, train avg acc: 0.750788
Test 11, loss: 1.667161, test acc: 0.840762, test avg acc: 0.777622
Train 12, loss: 1.711134, train acc: 0.845325, train avg acc: 0.756517
Test 12, loss: 1.627655, test acc: 0.858590, test avg acc: 0.784320
Train 13, loss: 1.691418, train acc: 0.851829, train avg acc: 0.766157
Test 13, loss: 1.655053, test acc: 0.851297, test avg acc: 0.784727
Train 14, loss: 1.684671, train acc: 0.854675, train avg acc: 0.772446
Test 14, loss: 1.605157, test acc: 0.869935, test avg acc: 0.797291
Train 15, loss: 1.672903, train acc: 0.860264, train avg acc: 0.787083
Test 15, loss: 1.593387, test acc: 0.877634, test avg acc: 0.826558
Train 16, loss: 1.670131, train acc: 0.864024, train avg acc: 0.788216
Test 16, loss: 1.593640, test acc: 0.883306, test avg acc: 0.828465
Train 17, loss: 1.662982, train acc: 0.866667, train avg acc: 0.792950
Test 17, loss: 1.581459, test acc: 0.880065, test avg acc: 0.812424
Train 18, loss: 1.648910, train acc: 0.873577, train avg acc: 0.804705
Test 18, loss: 1.570630, test acc: 0.887763, test avg acc: 0.823471
Train 19, loss: 1.645686, train acc: 0.871240, train avg acc: 0.800858
