Train 0, loss: 2.902151, train acc: 0.384670, train avg acc: 0.221524
Test 0, loss: 2.319115, test acc: 0.540113, test avg acc: 0.396285
Train 1, loss: 2.336608, train acc: 0.575631, train avg acc: 0.388670
Test 1, loss: 2.082858, test acc: 0.678282, test avg acc: 0.517471
Train 2, loss: 2.166599, train acc: 0.648514, train avg acc: 0.476317
Test 2, loss: 1.946522, test acc: 0.748379, test avg acc: 0.619099
Train 3, loss: 2.069294, train acc: 0.692691, train avg acc: 0.531758
Test 3, loss: 1.966883, test acc: 0.759724, test avg acc: 0.619657
Train 4, loss: 1.989295, train acc: 0.730761, train avg acc: 0.584309
Test 4, loss: 1.809303, test acc: 0.802674, test avg acc: 0.700116
Train 5, loss: 1.949878, train acc: 0.746641, train avg acc: 0.613797
Test 5, loss: 1.773849, test acc: 0.814425, test avg acc: 0.702006
Train 6, loss: 1.905607, train acc: 0.768017, train avg acc: 0.645920
Test 6, loss: 1.715330, test acc: 0.845624, test avg acc: 0.743971
Train 7, loss: 1.875893, train acc: 0.780639, train avg acc: 0.663563
Test 7, loss: 1.756724, test acc: 0.837925, test avg acc: 0.753762
Train 8, loss: 1.850578, train acc: 0.792243, train avg acc: 0.683989
Test 8, loss: 1.711747, test acc: 0.843193, test avg acc: 0.742517
Train 9, loss: 1.837327, train acc: 0.801201, train avg acc: 0.695129
Test 9, loss: 1.736173, test acc: 0.833874, test avg acc: 0.718186
Train 10, loss: 1.806377, train acc: 0.811787, train avg acc: 0.712279
Test 10, loss: 1.674024, test acc: 0.861831, test avg acc: 0.800552
Train 11, loss: 1.797036, train acc: 0.813416, train avg acc: 0.710863
Test 11, loss: 1.676848, test acc: 0.869935, test avg acc: 0.780593
Train 12, loss: 1.774729, train acc: 0.827056, train avg acc: 0.737300
Test 12, loss: 1.690748, test acc: 0.844408, test avg acc: 0.793744
Train 13, loss: 1.767836, train acc: 0.828481, train avg acc: 0.732259
Test 13, loss: 1.637872, test acc: 0.875203, test avg acc: 0.793145
Train 14, loss: 1.759823, train acc: 0.834283, train avg acc: 0.745100
Test 14, loss: 1.700177, test acc: 0.844408, test avg acc: 0.769105
Train 15, loss: 1.738292, train acc: 0.843139, train avg acc: 0.759741
Test 15, loss: 1.657527, test acc: 0.869125, test avg acc: 0.780878
Train 16, loss: 1.739260, train acc: 0.842834, train avg acc: 0.755514
Test 16, loss: 1.677900, test acc: 0.850486, test avg acc: 0.773727
Train 17, loss: 1.723995, train acc: 0.848534, train avg acc: 0.767804
Test 17, loss: 1.592609, test acc: 0.895867, test avg acc: 0.826762
Train 18, loss: 1.720814, train acc: 0.851283, train avg acc: 0.772356
Test 18, loss: 1.643158, test acc: 0.869935, test avg acc: 0.790267
Train 19, loss: 1.714590, train acc: 0.851283, train avg acc: 0.770047
Test 19, loss: 1.651561, test acc: 0.859400, test avg acc: 0.791628
Train 20, loss: 1.696278, train acc: 0.861665, train avg acc: 0.786587
Test 20, loss: 1.607959, test acc: 0.878039, test avg acc: 0.803233
Train 21, loss: 1.696308, train acc: 0.861360, train avg acc: 0.784609
Test 21, loss: 1.639654, test acc: 0.865883, test avg acc: 0.820203
Train 22, loss: 1.695675, train acc: 0.858306, train avg acc: 0.780987
Test 22, loss: 1.605208, test acc: 0.880875, test avg acc: 0.829169
Train 23, loss: 1.688176, train acc: 0.860647, train avg acc: 0.782394
Test 23, loss: 1.604176, test acc: 0.890600, test avg acc: 0.839134
Train 24, loss: 1.683797, train acc: 0.861564, train avg acc: 0.787327
Test 24, loss: 1.629831, test acc: 0.875608, test avg acc: 0.806936
Train 25, loss: 1.678297, train acc: 0.861869, train avg acc: 0.788429
Test 25, loss: 1.583215, test acc: 0.889384, test avg acc: 0.833256
Train 26, loss: 1.670180, train acc: 0.868689, train avg acc: 0.799454
Test 26, loss: 1.608669, test acc: 0.884522, test avg acc: 0.825378
Train 27, loss: 1.675115, train acc: 0.867264, train avg acc: 0.795823
Test 27, loss: 1.601930, test acc: 0.887763, test avg acc: 0.825372
Train 28, loss: 1.663547, train acc: 0.872557, train avg acc: 0.807678
Test 28, loss: 1.570355, test acc: 0.898703, test avg acc: 0.835122
Train 29, loss: 1.656649, train acc: 0.876221, train avg acc: 0.809995
Test 29, loss: 1.579715, test acc: 0.895462, test avg acc: 0.841331
Train 30, loss: 1.659811, train acc: 0.879581, train avg acc: 0.815341
Test 30, loss: 1.587837, test acc: 0.894246, test avg acc: 0.838756
Train 31, loss: 1.652143, train acc: 0.879581, train avg acc: 0.814491
Test 31, loss: 1.558541, test acc: 0.899514, test avg acc: 0.845052
Train 32, loss: 1.655494, train acc: 0.881209, train avg acc: 0.815576
Test 32, loss: 1.587690, test acc: 0.889384, test avg acc: 0.832180
Train 33, loss: 1.650618, train acc: 0.879173, train avg acc: 0.813898
Test 33, loss: 1.584609, test acc: 0.888169, test avg acc: 0.830517
Train 34, loss: 1.637493, train acc: 0.882634, train avg acc: 0.821936
Test 34, loss: 1.567030, test acc: 0.897083, test avg acc: 0.853366
Train 35, loss: 1.636853, train acc: 0.884772, train avg acc: 0.824022
Test 35, loss: 1.597782, test acc: 0.888574, test avg acc: 0.840326
Train 36, loss: 1.634955, train acc: 0.884976, train avg acc: 0.823810
Test 36, loss: 1.585338, test acc: 0.895057, test avg acc: 0.839500
Train 37, loss: 1.638650, train acc: 0.884568, train avg acc: 0.825300
Test 37, loss: 1.616451, test acc: 0.888979, test avg acc: 0.842308
Train 38, loss: 1.635116, train acc: 0.884976, train avg acc: 0.821261
Test 38, loss: 1.600143, test acc: 0.895057, test avg acc: 0.830017
Train 39, loss: 1.632164, train acc: 0.884161, train avg acc: 0.821580
Test 39, loss: 1.594762, test acc: 0.883712, test avg acc: 0.841360
Train 40, loss: 1.620752, train acc: 0.891388, train avg acc: 0.834494
Test 40, loss: 1.610515, test acc: 0.883712, test avg acc: 0.837628
Train 41, loss: 1.618578, train acc: 0.889454, train avg acc: 0.829853
Test 41, loss: 1.530979, test acc: 0.910859, test avg acc: 0.865750
Train 42, loss: 1.628181, train acc: 0.888436, train avg acc: 0.831845
Test 42, loss: 1.567933, test acc: 0.894652, test avg acc: 0.836645
Train 43, loss: 1.608923, train acc: 0.893730, train avg acc: 0.836503
Test 43, loss: 1.578695, test acc: 0.890600, test avg acc: 0.836110
Train 44, loss: 1.620196, train acc: 0.891897, train avg acc: 0.834090
Test 44, loss: 1.551902, test acc: 0.899109, test avg acc: 0.845831
Train 45, loss: 1.611215, train acc: 0.895460, train avg acc: 0.839383
Test 45, loss: 1.551352, test acc: 0.896272, test avg acc: 0.846744
Train 46, loss: 1.612127, train acc: 0.896274, train avg acc: 0.841793
Test 46, loss: 1.559826, test acc: 0.896272, test avg acc: 0.844483
Train 47, loss: 1.612589, train acc: 0.897394, train avg acc: 0.847539
Test 47, loss: 1.575672, test acc: 0.900729, test avg acc: 0.833145
Train 48, loss: 1.604344, train acc: 0.896987, train avg acc: 0.841449
